scheme,T,epsilon,KL_to_MB_fixed_nats,KL_to_MB_global_nats,entropy_bits,pmf_hash
PS+GS,0.2,0.001,-1.242021178235754e-16,1.6757689608148318,6.408923689874859,dc0546800bf8c4bc
PS+GS,0.0001,0.005,-1.242021178235754e-16,1.6757689608148318,6.408923689874859,dc0546800bf8c4bc
PS+GS,0.001,0.005,-1.242021178235754e-16,1.6757689608148318,6.408923689874859,dc0546800bf8c4bc
PS+GS,0.01,0.005,-1.242021178235754e-16,1.6757689608148318,6.408923689874859,dc0546800bf8c4bc
PS+GS,0.05,0.005,-1.242021178235754e-16,1.6757689608148318,6.408923689874859,dc0546800bf8c4bc
PS+GS,0.1,0.005,-1.242021178235754e-16,1.6757689608148318,6.408923689874859,dc0546800bf8c4bc
PS+GS,0.2,0.005,-1.242021178235754e-16,1.6757689608148318,6.408923689874859,dc0546800bf8c4bc
PS+GS,0.0001,0.01,-1.242021178235754e-16,1.6757689608148318,6.408923689874859,dc0546800bf8c4bc
PS+GS,0.001,0.01,-1.242021178235754e-16,1.6757689608148318,6.408923689874859,dc0546800bf8c4bc
PS+GS,0.01,0.01,-1.242021178235754e-16,1.6757689608148318,6.408923689874859,dc0546800bf8c4bc
PS+GS,0.05,0.01,-1.242021178235754e-16,1.6757689608148318,6.408923689874859,dc0546800bf8c4bc
PS+GS,0.1,0.01,-1.242021178235754e-16,1.6757689608148318,6.408923689874859,dc0546800bf8c4bc
PS+GS,0.2,0.01,-1.242021178235754e-16,1.6757689608148318,6.408923689874859,dc0546800bf8c4bc
PS+GS,0.0001,0.02,-1.242021178235754e-16,1.6757689608148318,6.408923689874859,dc0546800bf8c4bc
PS+GS,0.001,0.02,-1.242021178235754e-16,1.6757689608148318,6.408923689874859,dc0546800bf8c4bc
PS+GS,0.01,0.02,-1.242021178235754e-16,1.6757689608148318,6.408923689874859,dc0546800bf8c4bc
PS+GS,0.05,0.02,-1.242021178235754e-16,1.6757689608148318,6.408923689874859,dc0546800bf8c4bc
PS+GS,0.1,0.02,-1.242021178235754e-16,1.6757689608148318,6.408923689874859,dc0546800bf8c4bc
PS+GS,0.2,0.02,-1.242021178235754e-16,1.6757689608148318,6.408923689874859,dc0546800bf8c4bc
