parameter_name,parameter_value,parameter_unit,scheme,mean_I_AB,std_I_AB,mean_chi_BE,std_chi_BE,mean_beta_I_AB,std_beta_I_AB,mean_K_raw,std_K_raw,mean_K_positive,std_K_positive,ci95_low,ci95_high,repetitions,ncut
aperture_radius,0.1,m,Uniform QAM,0.017153380233596804,0.018706900604379087,0.015063887972086354,0.016405904671780033,0.016295711221916965,0.01777155557416013,0.0012318232498306095,0.001365650902380098,0.0012318232498306095,0.001365650902380098,-0.0110380632975853,0.013501709797246518,2,24
aperture_radius,0.1,m,Maxwell-Boltzmann QAM,0.018270860944309186,0.02069950098439942,0.012085509703849306,0.013358787241456819,0.017357317897093726,0.019664525935179446,0.005271808193244421,0.0063057386937226305,0.005271808193244421,0.0063057386937226305,-0.05138300617753162,0.06192662256402047,2,24
aperture_radius,0.1,m,Binomial QAM,0.01885057532183887,0.021624191776022476,0.012124834952878083,0.013399985458679075,0.017908046555746925,0.02054298218722135,0.005783211602868843,0.0071429967285422755,0.005783211602868843,0.0071429967285422755,-0.05839406775529544,0.06996049096103313,2,24
aperture_radius,0.1,m,GS,0.017153363085568918,0.01870684467518549,0.014841800170146413,0.016181545426137766,0.01629569493129047,0.017771502441426217,0.001453894761144058,0.001589957015288451,0.001453894761144058,0.001589957015288451,-0.0128313022528638,0.015739091775151915,2,24
aperture_radius,0.1,m,PS,0.01827086094430963,0.020699500984400047,0.012085509703849584,0.01335878724145721,0.017357317897094146,0.01966452593518004,0.005271808193244564,0.006305738693722833,0.005271808193244564,0.006305738693722833,-0.0513830061775333,0.06192662256402243,2,24
aperture_radius,0.1,m,PS+GS,0.018270970103014372,0.02069963629008264,0.012078417907424699,0.013351348830056913,0.017357421597863652,0.019664654475578504,0.005279003690438955,0.006313305645521593,0.005279003690438955,0.006313305645521593,-0.05144379704487669,0.0620018044257546,2,24
aperture_radius,0.3,m,Uniform QAM,0.13566215414096772,0.06431941231232276,0.10657032855635917,0.04388547197134849,0.12887904643391931,0.0611034416967066,0.022308717877560152,0.017217969725358124,0.022308717877560152,0.017217969725358124,-0.13238860245429862,0.1770060382094189,2,24
aperture_radius,0.3,m,Maxwell-Boltzmann QAM,0.12496725925090013,0.05900238982531121,0.08665807013943583,0.03583614836556461,0.11871889628835511,0.056052270334045654,0.03206082614891929,0.020216121968481042,0.03206082614891929,0.020216121968481042,-0.14957382334289188,0.21369547564073044,2,24
aperture_radius,0.3,m,Binomial QAM,0.12329939133744561,0.059182535411114415,0.08693494006684493,0.03594896525915711,0.11713442177057332,0.056223408640558685,0.03019948170372838,0.020274443381401573,0.03019948170372838,0.020274443381401573,-0.15195916489347241,0.21235812830092918,2,24
aperture_radius,0.3,m,GS,0.1356565986100724,0.06430482119048764,0.10512709908286255,0.04330471174861283,0.12887376867956876,0.061089580130963245,0.023746669596706224,0.01778486838235043,0.023746669596706224,0.01778486838235043,-0.1360440330871543,0.1835373722805667,2,24
aperture_radius,0.3,m,PS,0.12496725925090169,0.0590023898253109,0.08665807013943766,0.03583614836556531,0.1187188962883566,0.056052270334045355,0.03206082614891894,0.020216121968480043,0.03206082614891894,0.020216121968480043,-0.14957382334288324,0.21369547564072114,2,24
aperture_radius,0.3,m,PS+GS,0.12496696884907132,0.05899941569262742,0.08660801315702771,0.035815743734907646,0.11871862040661775,0.05604944490799604,0.03211060724959004,0.020233701173088404,0.03211060724959004,0.020233701173088404,-0.14968198512919922,0.21390319962837928,2,24
beam_waist,0.03,m,Uniform QAM,0.0587105798409584,0.0016789301904896314,0.0477402889878043,0.0002867673078419524,0.055775050848910476,0.0015949836809651555,0.008034761861106174,0.001881750988807107,0.008034761861106174,0.001881750988807107,-0.00887209998983312,0.024941623712045467,2,24
beam_waist,0.03,m,Maxwell-Boltzmann QAM,0.06065504225985463,0.0027785131821566945,0.03852998185178408,0.0002779952397731682,0.0576222901468619,0.0026395875230488595,0.01909230829507782,0.0023615922832756916,0.01909230829507782,0.0023615922832756916,-0.0021257565387274753,0.04031037312888311,2,24
beam_waist,0.03,m,Binomial QAM,0.06081945859850202,0.0033842276148094447,0.038652892178333065,0.0002787906704319983,0.057778485668576914,0.0032150162340689723,0.01912559349024385,0.0029362255636369745,0.01912559349024385,0.0029362255636369745,-0.007255346529389851,0.045506533509877545,2,24
beam_waist,0.03,m,GS,0.05870805840815252,0.0016804128807398511,0.04705736039933883,0.0002881381570619647,0.05577265548774489,0.0015963922367028583,0.008715295088406058,0.0018845303937648245,0.008715295088406058,0.0018845303937648245,-0.008216538725310168,0.025647128902122285,2,24
beam_waist,0.03,m,PS,0.06065504225985574,0.0027785131821563805,0.038529981851785466,0.0002779952397749738,0.05762229014686296,0.0026395875230485603,0.019092308295077486,0.0023615922832735886,0.019092308295077486,0.0023615922832735886,-0.0021257565387089138,0.04031037312886389,2,24
beam_waist,0.03,m,PS+GS,0.060654845166403515,0.002779609706724728,0.03850780466329562,0.00027784560777087007,0.05762210290808334,0.0026406292213884885,0.019114298244787716,0.0023627836136176183,0.019114298244787716,0.0023627836136176183,-0.0021144702674689743,0.04034306675704441,2,24
beam_waist,0.12,m,Uniform QAM,0.0846130569542709,0.024235700971325318,0.06916143260771623,0.02027439167063399,0.08038240410655736,0.023023915922759052,0.011220971498841121,0.002749524252125059,0.011220971498841121,0.002749524252125059,-0.013482523789849644,0.03592446678753189,2,24
beam_waist,0.12,m,Maxwell-Boltzmann QAM,0.08026587205052316,0.030491312475126126,0.05604474922783781,0.01659077077199689,0.076252578447997,0.028966746851369823,0.020207829220159193,0.012375976079372929,0.020207829220159193,0.012375976079372929,-0.09098590421697833,0.13140156265729672,2,24
beam_waist,0.12,m,Binomial QAM,0.07920568551941432,0.03049678720620366,0.0562227078346077,0.016643625536701918,0.07524540124344359,0.028971947845893468,0.019022693408835892,0.012328322309191557,0.019022693408835892,0.012328322309191557,-0.09174288789025303,0.1297882747079248,2,24
beam_waist,0.12,m,GS,0.08461380963259457,0.024237076256688094,0.06819754459034078,0.020012280033362726,0.08038311915096484,0.02302522244385368,0.012185574560624064,0.0030129424104909574,0.012185574560624064,0.0030129424104909574,-0.014884638980912865,0.039255788102160995,2,24
